,Nome,Partido,Estado,votos_totalizados,total_de_votos,Ideologia
293,Professor Luiz Flavio Gomes,PSB,SP,86433,25921320,Esquerda
294,Glaustin da Fokus,PSC,GO,100437,3553706,Direita
295,Euclydes Pettersen ,PSC,MG,65316,12211254,Direita
296,Andre Ferreira,PSC,PE,175834,5391639,Direita
297,Paulo Martins,PSC,PR,118754,6616901,Direita
298,Otoni de Paula,PSC,RJ,120498,9474441,Direita
299,Valdevan Noventa,PSC,SE,45472,1279582,Direita
300,Gilberto Nascimento,PSC,SP,91797,25921320,Direita
301,Osires Damaso,PSC,TO,58726,831214,Direita
302,Marx Beltrão,PSD,AL,139458,1692875,Direita
303,Sidney Leite,PSD,AM,77458,1957418,Direita
304,Otto Alencar Filho,PSD,BA,185428,8235310,Direita
305,Antonio Brito,PSD,BA,127716,8235310,Direita
306,Sérgio Brito,PSD,BA,105427,8235310,Direita
307,José Nunes,PSD,BA,99535,8235310,Direita
308,Domingos Neto,PSD,CE,111154,5243490,Direita
309,Francisco Jr,PSD,GO,111788,3553706,Direita
310,Edilazio,PSD,MA,106576,3604580,Direita
311,Misael Varella,PSD,MG,128537,12211254,Direita
312,Stefano Aguiar,PSD,MG,115795,12211254,Direita
313,Diego Andrade,PSD,MG,105803,12211254,Direita
314,Fabio Trad,PSD,MS,89385,1478642,Direita
315,Júnior Ferrari,PSD,PA,146678,4400611,Direita
316,Delegado Éder Mauro,PSD,PA,145653,4400611,Direita
317,Joaquim Passarinho,PSD,PA,95582,4400611,Direita
318,Andre de Paula,PSD,PE,118641,5391639,Direita
319,Júlio Cesar,PSD,PI,110804,1997587,Direita
320,Sargento Fahur,PSD,PR,314963,6616901,Direita
321,Sandro Alex,PSD,PR,124512,6616901,Direita
322,Ney Leprevost,PSD,PR,92399,6616901,Direita
323,Vermelho,PSD,PR,70001,6616901,Direita
324,Flordelis,PSD,RJ,196959,9474441,Direita
325,Hugo Leal,PSD,RJ,63561,9474441,Direita
326,Alexandre Serfiotis,PSD,RJ,37526,9474441,Direita
327,Fábio Faria,PSD,RN,70350,1966450,Direita
328,Expedito Netto,PSD,RO,39953,912914,Direita
