Nome,Partido
Margarete Coelho,PP
Rejane Dias,PT
Alessandro Molon,PSB
Alexandre Serfiotis,PSD
Altineu Cortes,PR
Aureo,Solidariedade
Benedita da Silva,PT
Carlos Jordy,PSL
Chico d Angelo,PDT
Chiquinho Brazao,AVANTE
Chris Tonietto,PSL
Christino Aureo,PP
Clarisse Garotinho,PROS
Daniel Silveira,PSL
Daniela do Waguinho,MDB
Delegado Antonio Furtado,PSL
Dr. Luizinho,PP
Felicio Laterça,PSL
Flordelis,PSD
Gelson Azevedo,PHS
Glauber Braga,PSOL
Gutemberg Reis,MDB
Helio Fernando Barbosa Lopes,PSL
Hugo Leal,PSD
Jandira Feghali,PCdoB
David Miranda,PSOL
Juninho do Pneu,DEM
Lourival Gomes,PSL
Luiz Antonio,DC
Luiz Lima,PSL
Major Fabiana,PSL
Marcelo Calero,PPS
Marcelo Freixo,PSOL
Marcio Labre,PSL
Otoni de Paula,PSC
Paulo Ganime,NOVO
Paulo Ramos,PDT
Pedro Paulo,DEM
Professor Joziel,PSL
Rodrigo Maia,DEM
Rosangela Gomes,PRB
Sargento Gurgel,PSL
Soraya Santos,PR
Sostenes,DEM
Taliria Petrone,PSOL
Vinicius Farah,MDB
Jorge Braz,PRB
Wladimir Garotinho,PRP
Benes Leocadio,PTC
Fabio Faria,PSD
General Girao,PSL
Joao Maia,PR
Beto Rosado,PP
Natalia Bonavides,PT
Rafael Motta,PSB
Walter Alves,MDB
Afonso Hamm,PP
Afonso Motta,PDT
Alceu Moreira,MDB
Bibo Nunes,PSL
Bohn Gass,PT
Carlos Gomes,PRB
Covatti Filho,PP
Daniel da TV,PSDB
Danrlei de Deus Goleiro,PSD
Fernanda Melchionna,PSOL
Giovani Cherini,PR
Giovani Feltes,MDB
Heitor Schuch,PSB
Henrique Fontana,PT
Jeronimo Goergen,PP
Liziane Bayer,PSB
Lucas Redecker,PSDB
Marcel Van Hattem,NOVO
Marcelo Moraes,PTB
Marcio Biolchi,MDB
Marcon,PT
Maria do Rosario,PT
Marlon Santos,PDT
Mauricio Dziedricki,PTB
Nereu Crispin,PSL
Onyx Lorenzoni,DEM
Osmar Terra,MDB
Paulo Pimenta,PT
Pedro Westphalen,PP
Pompeo de Mattos,PDT
Sanderson Federal,PSL
Coronel Chrisostomo,PSL
Dr. Mauro Nazif,PSB
Expedito Netto,PSD
Jaqueline Cassol,PP
Leo Moraes,Podemos
Lucio Mosquini,MDB
Mariana Carvalho,PSDB
Silvia Cristina,PDT
Hiran Gonçalves,PP
Edio Lopes,PR
Haroldo Cathedral,PSD
Jhonatan de Jesus,PRB
Joenia Wapichana,REDE
Nicoletti,PSL
Otaci,Solidariedade
Sheridan,PSDB
Angela Amin,PP
Carlos Chiodini,MDB
Carmen Zanotto,PPS
Caroline de Toni,PSL
Celso Maldaner,MDB
Coronel Armando,PSL
Daniel Freitas,PSL
Darci de Matos,PSD
Fabio Schiochet,PSL
Geovania de Sa,PSDB
Gilson Marques,NOVO
Helio Costa,PRB
Peninha,MDB
Professor Pedro Uczai,PT
Ricardo Guidi,PSD
Rodrigo Coelho,PSB
Abou Anni,PSL
Adriana Ventura,NOVO
Alencar Santana,PT
Alex Manente,PPS
Alexandre Frota,PSL
Alexandre Leite,DEM
Alexandre Padilha,PT
Alexis,NOVO
Arlindo Chinaglia,PT
Arnaldo Jardim,PPS
Baleia Rossi,MDB
Bruna Furlan,PSDB
Capitao Augusto,PR
Carla Zambelli,PSL
Carlos Sampaio,PSDB
Carlos Zarattini,PT
Celso Russomano,PRB
Cezinha de Madureira,PSD
Coronel Tadeu,PSL
David Soares,DEM
Eduardo Bolsonaro,PSL
Eduardo Cury,PSDB
Eli Correa Filho,DEM
Enrico Misasi,PV
Fausto Pinato,PP
General Peternelli,PSL
Geninho Zuliani,DEM
Gilberto Nascimento,PSC
Guiga Peixoto,PSL
Guilherme Mussi,PP
Herculano Passos,MDB
Ivan Valente,PSOL
Jefferson Campos,PSB
Joice Hasselmann,PSL
Junior Bozzella,PSL
Kim Kataguiri,DEM
Luiz Carlos Motta,PR
Luiz Philippe O. Bragança,PSL
Luiza Erundina,PSOL
Marcio Alvino,PR
Marco Bertaiolli,PSD
Marcos Pereira,PRB
Maria Rosas,PRB
Miguel Lombardi,PR
Milton Vieira,PRB
Nilto Tatto,PT
Orlando Silva,PCdoB
Pastor Marco Feliciano,Podemos
Paulinho da Força,Solidariedade
Paulo Freire Costa,PR
Paulo Teixeira,PT
Policial Katia Sastre,PR
Professor Luiz Flavio Gomes,PSB
Renata Abreu,Podemos
Ricardo Izar,PP
Roberto Alves,PRB
Roberto de Lucena,Podemos
Rodrigo Agostinho,PSB
Rosana Valle,PSB
Rui Falcao,PT
Samia Bomfim,PSOL
Samuel Moreira,PSDB
Tabata Amaral,PDT
Tenente Derrite,PP
Tiririca,PR
Vanderlei Macris,PSDB
Vicentinho,PT
Vinicius Carvalho,PRB
Vinicius Poit,NOVO
Vitor Lippi,PSDB
Bosco Costa,PR
Fabio Henrique,PDT
Fabio Mitidieri,PSD
Fabio Reis,MDB
Gustinho Ribeiro,Solidariedade
Joao Daniel,PT
Laercio Oliveira,PP
Valdevan Noventa,PSC
Carlos Henrique Gaguim,DEM
Celio Moura,PT
Dulce Miranda,MDB
Eli Borges,Solidariedade
Osires Damaso,PSC
Professora Dorinha,DEM
Tiago Dimas,Solidariedade
Vicentinho Junior,PR
